STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,OTHER THEFT,20,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,RIOTS,2,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,CRIMINAL BREACH OF TRUST,2,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,CHEATING,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,ARSON,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,HURT/GREVIOUS HURT,34,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,8,East
